Symbol,Shortname,Currentprice,Revenuegrowth
TSN,"Tyson Foods, Inc.",58.02,0.016
TER,"Teradyne, Inc.",125.95,0.048
STE,STERIS plc (Ireland),207.49,0.073
PKG,Packaging Corporation of Americ,227.98,0.127
CLX,Clorox Company (The),164.44,0.271
NTRS,Northern Trust Corporation,102.48,0.145
ZBRA,Zebra Technologies Corporation,393.04,0.313
DVN,Devon Energy Corporation,30.77,-0.102
CBOE,"Cboe Global Markets, Inc.",191.61,0.162
WY,Weyerhaeuser Company,27.5,-0.169
LUV,Southwest Airlines Company,33.28,0.053
ULTA,"Ulta Beauty, Inc.",430.01,0.009
CMS,CMS Energy Corporation,66.61,0.042
INVH,Invitation Homes Inc.,32.14,0.058
FSLR,"First Solar, Inc.",182.39,0.108
BF-B,Brown Forman Inc,41.28,-0.084
LDOS,"Leidos Holdings, Inc.",144.81,0.069
CFG,"Citizens Financial Group, Inc.",43.45,-0.061
LH,Labcorp Holdings Inc.,228.61,0.074
VRSN,"VeriSign, Inc.",198.84,0.038
IP,International Paper Company,54.45,0.016
ESS,"Essex Property Trust, Inc.",283.76,0.076
PODD,Insulet Corporation,266.57,0.257
COO,"The Cooper Companies, Inc.",93.44,0.078
SMCI,"Super Micro Computer, Inc.",31.59,1.43
STX,Seagate Technology Holdings PLC,87.31,0.491
MAA,Mid-America Apartment Communiti,153.4,0.017
FDS,FactSet Research Systems Inc.,483.52,0.049
NRG,"NRG Energy, Inc.",90.45,-0.091
BBY,"Best Buy Co., Inc.",85.55,-0.031
SNA,Snap-On Incorporated,343.65,-0.005
L,Loews Corporation,83.19,0.138
PFG,Principal Financial Group Inc,77.3,-0.345
STLD,"Steel Dynamics, Inc.",115.69,-0.054
TRMB,Trimble Inc.,71.64,-0.085
OMC,Omnicom Group Inc.,88.86,0.085
CTRA,Coterra Energy Inc.,23.68,-0.05
HRL,Hormel Foods Corporation,31.68,-0.022
ARE,Alexandria Real Estate Equities,99.17,0.109
BLDR,"Builders FirstSource, Inc.",150.5,-0.067
JBHT,"J.B. Hunt Transport Services, I",170.23,-0.03
GEN,Gen Digital Inc.,27.83,0.031
DGX,Quest Diagnostics Incorporated,153.1,0.084
KEY,KeyCorp,17.09,-0.602
NI,NiSource Inc,36.17,0.048
MOH,Molina Healthcare Inc,294.73,0.174
PNR,Pentair plc.,101.95,-0.015
J,Jacobs Solutions Inc.,135.75,0.011
DG,Dollar General Corporation,76.4,0.042
BALL,Ball Corporation,55.8,-0.009
NWS,News Corporation,30.7,0.031
NWSA,News Corporation,27.86,0.031
UDR,"UDR, Inc.",43.46,0.006
HOLX,"Hologic, Inc.",71.65,0.045
JBL,Jabil Inc.,145.0,-0.177
GPC,Genuine Parts Company,115.73,0.025
IEX,IDEX Corporation,212.38,0.006
MAS,Masco Corporation,74.39,0.002
KIM,Kimco Realty Corporation (HC),23.42,0.138
ALGN,"Align Technology, Inc.",211.06,0.018
DLTR,"Dollar Tree, Inc.",72.94,0.007
EXPD,Expeditors International of Was,111.48,0.37
EG,"Everest Group, Ltd.",356.64,0.128
MRNA,"Moderna, Inc.",39.39,0.017
LNT,Alliant Energy Corporation,58.95,0.004
AVY,Avery Dennison Corporation,188.13,0.041
BAX,Baxter International Inc.,29.5,0.038
TPR,"Tapestry, Inc.",64.15,-0.004
VTRS,Viatris Inc.,12.52,-0.048
CF,"CF Industries Holdings, Inc.",84.98,0.076
FFIV,"F5, Inc.",252.25,0.056
DPZ,Domino's Pizza Inc,426.18,0.031
AKAM,"Akamai Technologies, Inc.",95.89,0.041
RL,Ralph Lauren Corporation,230.28,0.057
TXT,Textron Inc.,76.85,0.025
SWKS,"Skyworks Solutions, Inc.",88.75,-0.159
EVRG,"Evergy, Inc.",61.43,0.085
EPAM,"EPAM Systems, Inc.",248.26,0.013
DOC,"Healthpeak Properties, Inc.",20.12,0.259
APTV,Aptiv PLC,58.86,-0.051
RVTY,"Revvity, Inc.",112.56,0.02
AMCR,Amcor plc,9.4,-0.026
REG,Regency Centers Corporation,73.8,0.089
POOL,Pool Corporation,349.04,-0.028
INCY,Incyte Corporation,68.84,0.238
BXP,"BXP, Inc.",74.64,0.037
KMX,CarMax Inc,84.27,-0.002
CAG,"ConAgra Brands, Inc.",27.11,-0.038
HST,"Host Hotels & Resorts, Inc.",18.2,0.092
JKHY,"Jack Henry & Associates, Inc.",176.74,0.052
SWK,"Stanley Black & Decker, Inc.",82.0,-0.051
DVA,DaVita Inc.,151.85,0.046
CPB,The Campbell's Company,41.5,0.109
CHRW,"C.H. Robinson Worldwide, Inc.",104.34,0.07
JNPR,"Juniper Networks, Inc.",37.24,-0.048
CPT,Camden Property Trust,114.91,-0.005
TAP,Molson Coors Beverage Company,59.34,-0.078
NDSN,Nordson Corporation,209.73,0.02
PAYC,"Paycom Software, Inc.",207.23,0.112
UHS,"Universal Health Services, Inc.",180.11,0.112
NCLH,Norwegian Cruise Line Holdings ,26.91,0.107
DAY,"Dayforce, Inc.",74.84,0.166
SJM,The J.M. Smucker Company,109.89,0.177
TECH,Bio-Techne Corp,73.17,0.045
SOLV,Solventum Corporation,66.83,0.004
ALLE,Allegion plc,132.18,0.054
BG,Bunge Limited,79.1,-0.093
AIZ,"Assurant, Inc.",212.27,0.07
